OBJECTID,LONGITUDE,LATITUDE
3402494,144.92796,-37.736
3402495,145.05306,-37.90781
3402496,145.09821,-37.83598
3402497,146.18202,-38.07621
3402498,144.2828,-36.76346
3402499,145.40076,-36.38128
3402500,145.0272,-37.81721
3402501,145.30538,-37.81568
3402502,145.17113,-37.94617
3402503,144.99827,-37.69354
3402504,144.96997,-37.80056
3402505,145.06905,-37.75973
3402506,142.13429,-34.19205
3402507,145.30938,-37.78595
3402508,145.12912,-38.24823
3402509,145.01541,-37.83028
3402510,145.06213,-38.23781
3402511,147.62313,-37.82395
3402512,145.28544,-37.86556
3402513,144.0988,-38.46552
3402514,144.72815,-36.13025
3402515,145.025,-37.73227
3402516,144.83199,-37.7502
3402517,144.33654,-38.11517
3402518,144.73039,-37.6904
3402519,145.05893,-37.20242
3402520,144.97799,-37.80108
3402521,144.43838,-37.48683
3402522,146.42849,-36.0587
3402523,145.19203,-37.94879
3402524,145.16598,-37.76343
3402525,145.40201,-36.35713
3402526,145.11375,-38.03938
3402527,144.96679,-37.84831
3402528,144.86331,-37.68214
3402529,145.98812,-38.5797
3402530,145.06025,-37.64415
3402531,144.72985,-36.13445
3402532,146.87317,-36.11932
3402533,145.20696,-37.85995
3402534,145.38661,-37.65974
3402535,145.03155,-38.30426
3402536,145.29486,-37.77108
3402537,144.77549,-37.72684
3402538,144.90252,-37.75541
3402539,144.6171,-36.25504
3402540,143.30548,-38.32923
3402541,144.99243,-37.76436
3402542,144.88533,-37.81122
3402543,144.97885,-37.77554
3402544,148.53962,-37.78188
3402545,145.14236,-38.11006
3402546,145.87084,-38.67808
3402547,145.35703,-36.39512
3402548,144.78466,-37.84467
3402549,145.09437,-37.85744
3402550,144.98502,-37.84569
3402551,145.08888,-37.88935
3402552,145.03401,-37.98019
3402553,144.92367,-37.82804
3402554,145.00522,-37.69424
3402555,143.12808,-38.25022
3402556,143.58394,-38.41247
3402557,144.9609,-37.77614
3402558,145.12285,-37.70963
3402559,144.77811,-37.86736
3402560,145.3052,-38.0253
3402561,145.03525,-38.25766
3402562,145.06353,-37.8601
3402563,145.28544,-37.92503
3402564,145.33988,-37.73206
3402565,144.94152,-37.83543
3402566,144.70381,-37.86487
3402567,145.11866,-38.01911
3402568,144.99793,-37.82569
3402569,145.1525,-37.90197
3402570,144.88091,-38.36241
3402571,145.62618,-38.08526
3402572,144.91647,-37.6944
3402573,145.02888,-37.80748
3402574,145.09791,-38.27775
3402575,145.01014,-37.71703
3402576,145.05883,-37.82632
3402577,146.54219,-38.19452
3402578,144.99525,-37.82539
3402579,145.3052,-38.0253
3402580,144.97878,-37.85575
3402581,145.11912,-38.14642
3402582,145.51294,-37.6621
3402583,145.18784,-37.91363
3402584,145.85394,-36.98175
3402585,144.37256,-38.15871
3402586,145.09606,-37.60027
3402587,145.33185,-36.49893
3402588,145.24292,-37.89758
3402589,144.93253,-37.74196
3402590,145.12291,-37.82292
3402591,146.56078,-38.19078
3402592,145.28347,-38.10949
3402593,144.12214,-37.24189
3402594,145.60833,-38.38909
3402595,144.85909,-37.83476
3402596,144.7565,-37.69358
3402597,144.88481,-37.66412
3402598,144.93142,-37.64087
3402599,144.94581,-37.81697
3402600,145.04679,-37.73422
3402601,145.42437,-36.38613
3402602,145.1497,-37.86536
3402603,146.82163,-36.32573
3402604,144.48589,-38.17753
3402605,144.94234,-37.83858
3402606,142.48319,-38.38342
3402607,144.87528,-37.71601
3402608,142.17943,-34.22024
3402609,145.11647,-37.80899
3402610,146.24675,-38.15368
3402611,145.21617,-37.98508
3402612,145.22694,-37.97817
3402613,145.68794,-38.12713
3402614,144.8841,-37.78295
3402615,144.9997,-37.79305
3402616,142.21026,-36.70389
3402617,145.02187,-37.88742
3402618,145.04939,-37.73304
3402619,144.93277,-37.71616
3402620,144.99948,-37.76517
3402621,144.95956,-37.81862
3402622,145.31329,-37.89894
3402623,144.97534,-37.86098
3402624,144.96421,-37.78113
3402625,145.91938,-38.157
3402626,144.99143,-37.8877
3402627,145.15293,-37.90185
3402628,145.30426,-37.80133
3402629,144.97468,-37.77984
3402630,145.16413,-37.91155
3402631,144.73206,-37.58097
3402632,146.40612,-38.23513
3402633,145.19041,-37.84034
3402634,145.00096,-37.88902
3402635,143.79044,-35.58816
3402636,145.0606,-37.66803
3402637,146.96837,-37.91006
3402638,145.09035,-37.88245
3402639,145.06866,-37.9373
3402640,144.96458,-37.85569
3402641,144.92429,-37.7514
3402642,144.34793,-38.0932
3402643,146.33584,-38.06251
3402644,145.21608,-37.99279
3402645,145.01566,-37.7539
3402646,142.75161,-35.39271
3402647,145.11842,-37.91357
3402648,145.25594,-38.00801
3402649,145.30971,-38.02097
3402650,144.95265,-37.73636
3402651,145.07841,-37.73522
3402652,144.30395,-38.16193
3402653,144.22813,-36.75942
3402654,145.49367,-37.9874
3402655,145.1362,-38.14557
3402656,144.94761,-37.83453
3402657,141.60423,-38.3359
3402658,144.91669,-37.7093
3402659,144.92236,-37.67791
3402660,145.17833,-37.87556
3402661,144.91549,-37.77166
3402662,145.00813,-37.79333
3402663,144.36074,-38.14729
3402664,144.99,-37.61809
3402665,145.46587,-37.85925
3402666,145.09131,-38.19511
3402667,144.86972,-37.78318
3402668,144.98357,-37.86433
3402669,146.13307,-37.54835
3402670,144.20777,-37.8905
3402671,144.9767,-37.40948
3402672,145.20819,-37.63166
